Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit C-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	18	0	18	19	0	19	     0	     0	     0	12C(57.0214), 2C(57.0214)		sp|Q99613|EIF3C_HUMAN
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens OX=9606	Mapk-regulated corepressor-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	     0	     0	     0			
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens OX=9606	Uncharacterized protein C11orf98 	4:Protein predicted	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens OX=9606	SLC35A4 upstream open reading frame protein 	3:Protein inferred from homology	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0	10C(57.0214), 15C(57.0214), 5C(57.0214)		
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens OX=9606	Kinesin-like protein KIF2A 	1:Experimental evidence at protein level	1.0000	0.9990	8	6	8	9	7	9	     0	     0	     0	15C(57.0214), 5C(57.0214)		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	2C(57.0214), 7C(57.0214), N-term(42.0106)		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	20	20	20	     0	     0	     0	10C(57.0214), 11C(57.0214), 13M(15.9949), 14C(57.0214), 1C(57.0214), 1M(15.9949), 4C(57.0214), 7C(57.0214), N-term(42.0106)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	9	8	9	     0	     0	     0	3C(57.0214)		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9990	34	32	34	38	35	38	     0	     0	     0	1C(57.0214), 3C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens OX=9606	Synaptosomal-associated protein 23 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	12C(57.0214)		
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	     0	     0	     0	2C(57.0214), 3C(57.0214)		
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	8	7	8	     0	     0	     0	4C(57.0214), 5C(57.0214), 6C(57.0214)		
sp|O00194|RB27B_HUMAN	O00194	RB27B_HUMAN	RAB27B	218	Homo sapiens OX=9606	Ras-related protein Rab-27B 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	9	8	9	     0	     0	     0	N-term(42.0106)		
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	AP-3 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	12	11	12	14	13	14	     0	     0	     0	11C(57.0214)		
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens OX=9606	Galectin-8 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	3C(57.0214), 6C(57.0214)		
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	2C(57.0214), 6C(57.0214)		
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	18	18	18	     0	     0	     0	8C(57.0214), N-term(42.0106)		
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	15	15	15	     0	     0	     0	16C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	12	12	12	     0	     0	     0	11C(57.0214), 5C(57.0214)		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0			
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	15	15	15	     0	     0	     0	7C(57.0214)		
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	Homo sapiens OX=9606	DNA fragmentation factor subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	9C(57.0214), N-term(42.0106)		
sp|O00291|HIP1_HUMAN	O00291	HIP1_HUMAN	HIP1	1037	Homo sapiens OX=9606	Huntingtin-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	6	5	6	     0	     0	     0	9C(57.0214)		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	12	13	21	19	21	     0	     0	     0	13C(57.0214), 4C(57.0214), 7C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	11	11	11	     0	     0	     0	2M(15.9949), 7M(15.9949)		
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens OX=9606	Pyruvate dehydrogenase protein X component, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	12C(57.0214)		
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	Homo sapiens OX=9606	Actin nucleation-promoting factor WASL 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	4	4	4	     0	     0	     0	10C(57.0214)		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	26	23	26	34	31	34	     0	     0	     0	10M(15.9949), 11C(57.0214), 13C(57.0214), 16C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 9C(57.0214)		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens OX=9606	Histone deacetylase complex subunit SAP18 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	2C(57.0214)		
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	16	16	16	     0	     0	     0	15C(57.0214), 8C(57.0214)		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens OX=9606	Dynamin-1-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	16	16	16	     0	     0	     0	1C(57.0214), 2C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	Homo sapiens OX=9606	Golgi integral membrane protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens OX=9606	Agrin 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	11C(57.0214), 3C(57.0214), 4C(57.0214), 9C(57.0214)		
sp|O00469|PLOD2_HUMAN	O00469	PLOD2_HUMAN	PLOD2	737	Homo sapiens OX=9606	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	11	11	     0	     0	     0	10C(57.0214), 2C(57.0214), 7C(57.0214)		
sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	Homo sapiens OX=9606	Exocyst complex component 5 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	2C(57.0214), 4C(57.0214)		
sp|O00479|HMGN4_HUMAN	O00479	HMGN4_HUMAN	HMGN4	90	Homo sapiens OX=9606	High mobility group nucleosome-binding domain-containing protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	9C(57.0214)		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	15C(57.0214)		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	15	15	15	     0	     0	     0	13C(57.0214), 1C(57.0214)		
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	Homo sapiens OX=9606	Syntenin-1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	     0	     0	     0	10C(57.0214), 13C(57.0214), 5C(57.0214), N-term(42.0106)		
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	Homo sapiens OX=9606	U3 small nucleolar ribonucleoprotein protein MPP10 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	19	19	19	21	21	21	     0	     0	     0	19C(57.0214), 3C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	37	13	37	45	14	45	     0	     0	     0	10M(15.9949), 1M(15.9949), 2C(57.0214), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 6 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0	11C(57.0214), 12C(57.0214), 1C(57.0214)		
sp|O00746|NDKM_HUMAN	O00746	NDKM_HUMAN	NME4	187	Homo sapiens OX=9606	Nucleoside diphosphate kinase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	Homo sapiens	Ubiquitin-conjugating enzyme E2 C 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	N-term(42.0106)		
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	4M(15.9949)		
sp|O00767|SCD_HUMAN	O00767	SCD_HUMAN	SCD	359	Homo sapiens OX=9606	Stearoyl-CoA desaturase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	Homo sapiens OX=9606	AT-rich interactive domain-containing protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	11C(57.0214), 5C(57.0214)		
sp|O14530|TXND9_HUMAN	O14530	TXND9_HUMAN	TXNDC9	226	Homo sapiens OX=9606	Thioredoxin domain-containing protein 9 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	10C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|O14545|TRAD1_HUMAN	O14545	TRAD1_HUMAN	TRAFD1	582	Homo sapiens OX=9606	TRAF-type zinc finger domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	3C(57.0214), 4C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|O14548|COX7R_HUMAN	O14548	COX7R_HUMAN	COX7A2L	114	Homo sapiens OX=9606	Cytochrome c oxidase subunit 7A-related protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	Homo sapiens OX=9606	Ubiquitin domain-containing protein UBFD1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O14578|CTRO_HUMAN	O14578	CTRO_HUMAN	CIT	2027	Homo sapiens OX=9606	Citron Rho-interacting kinase 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	     0	     0	     0			
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	10	10	10	     0	     0	     0	11C(57.0214)		
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens OX=9606	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	6C(57.0214)		
sp|O14618|CCS_HUMAN	O14618	CCS_HUMAN	CCS	274	Homo sapiens OX=9606	Copper chaperone for superoxide dismutase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	3C(57.0214)		
sp|O14646|CHD1_HUMAN	O14646	CHD1_HUMAN	CHD1	1710	Homo sapiens OX=9606	Chromodomain-helicase-DNA-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9989	3	2	3	3	2	3	     0	     0	     0	4C(57.0214)		
sp|O14653|GOSR2_HUMAN	O14653	GOSR2_HUMAN	GOSR2	212	Homo sapiens OX=9606	Golgi SNAP receptor complex member 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	8C(57.0214), 9M(15.9949), N-term(42.0106)		
sp|O14656|TOR1A_HUMAN	O14656	TOR1A_HUMAN	TOR1A	332	Homo sapiens OX=9606	Torsin-1A 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	3C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O14657|TOR1B_HUMAN	O14657	TOR1B_HUMAN	TOR1B	336	Homo sapiens OX=9606	Torsin-1B 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	Homo sapiens OX=9606	Disintegrin and metalloproteinase domain-containing protein 10 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	13	13	13	     0	     0	     0	10C(57.0214), 15C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|O14683|P5I11_HUMAN	O14683	P5I11_HUMAN	TP53I11	189	Homo sapiens OX=9606	Tumor protein p53-inducible protein 11 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	213	Homo sapiens OX=9606	CDP-diacylglycerol--inositol 3-phosphatidyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	2M(15.9949)		
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	12	12	12	     0	     0	     0	9M(15.9949), N-term(42.0106)		
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	12	12	12	     0	     0	     0	4C(57.0214), 9C(57.0214)		
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	Homo sapiens OX=9606	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	     0	     0	     0	8C(57.0214), N-term(42.0106)		
sp|O14757|CHK1_HUMAN	O14757	CHK1_HUMAN	CHEK1	476	Homo sapiens OX=9606	Serine/threonine-protein kinase Chk1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	Homo sapiens OX=9606	Transcription elongation regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	14	14	14	     0	     0	     0	15C(57.0214)		
sp|O14786|NRP1_HUMAN	O14786	NRP1_HUMAN	NRP1	923	Homo sapiens OX=9606	Neuropilin-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	9	6	9	10	6	10	     0	     0	     0	7M(15.9949)		
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens OX=9606	Microsomal glutathione S-transferase 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	19C(57.0214)		
sp|O14907|TX1B3_HUMAN	O14907	TX1B3_HUMAN	TAX1BP3	124	Homo sapiens OX=9606	Tax1-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	N-term(42.0106)		
sp|O14908|GIPC1_HUMAN	O14908	GIPC1_HUMAN	GIPC1	333	Homo sapiens OX=9606	PDZ domain-containing protein GIPC1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
sp|O14925|TIM23_HUMAN	O14925	TIM23_HUMAN	TIMM23	209	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim23 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	4	1	4	     0	     0	     0			
sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	Homo sapiens OX=9606	Histone acetyltransferase type B catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	1C(57.0214), 2C(57.0214), 7C(57.0214)		
